lang,direction,level,n_rows,duplicate_source_rate,missing_value_rate,source_len_chars_mean,source_len_chars_std,source_len_words_mean,ref_len_chars_mean,ref_len_chars_std,ref_len_words_mean,avg_unique_candidates_per_row,pct_rows_all_4_identical,pct_rows_all_4_distinct,oracle_best_of_4_bleu_mean,oracle_best_of_4_chrf_mean,oracle_best_of_4_comet_mean,best_single_model_bleu_mean,oracle_gain_bleu_over_best_single_model,model,bleu_mean,bleu_std,bleu_median,chrf_mean,chrf_std,comet_mean,comet_std,exact_match_rate,empty_output_rate,output_len_chars_mean,length_ratio_vs_reference_mean
bhili,hi2tgt,corpus,220361,0.0812,2.9e-05,105.82,54.24,20.8,103.08,53.31,21.26,3.809,0.0044,0.8432,59.849,76.666,0.7503,54.61,5.24,,,,,,,,,,,,
bhili,tgt2hi,corpus,220361,0.0882,2.6e-05,103.08,53.31,21.26,105.82,54.24,20.8,3.409,0.0444,0.6205,83.002,90.081,0.8906,77.715,5.287,,,,,,,,,,,,
gondi,hi2tgt,corpus,114389,0.0935,1e-06,50.25,28.85,10.11,52.38,29.18,9.68,3.784,0.0064,0.8331,41.448,63.894,0.7302,36.574,4.874,,,,,,,,,,,,
gondi,tgt2hi,corpus,114390,0.0117,1e-05,52.38,29.18,9.68,50.25,28.85,10.11,3.348,0.0749,0.6095,81.653,88.588,0.903,77.691,3.962,,,,,,,,,,,,
mundari,hi2tgt,corpus,210025,0.0267,3e-05,101.37,63.12,19.77,103.26,65.7,19.33,3.87,0.0054,0.8999,43.003,65.423,0.7522,36.732,6.271,,,,,,,,,,,,
mundari,tgt2hi,corpus,210025,0.0393,0.000114,103.26,65.7,19.33,101.36,63.12,19.77,3.501,0.0324,0.6913,72.457,82.588,0.8479,66.838,5.619,,,,,,,,,,,,
bhili,hi2tgt,model,220361,,,,,,,,,,,,,,,,,nllb,22.532,20.925,14.991,49.919,19.48,0.6229,0.1054,0.0073,0.0,106.18,1.039
bhili,hi2tgt,model,220361,,,,,,,,,,,,,,,,,mt5,36.206,29.753,27.274,60.364,23.036,0.669,0.1231,0.0644,0.0,105.23,1.03
bhili,hi2tgt,model,220361,,,,,,,,,,,,,,,,,qwen,20.011,19.528,12.714,45.99,20.047,0.6029,0.1174,0.0065,0.0,91.95,0.963
bhili,hi2tgt,model,220361,,,,,,,,,,,,,,,,,llama,54.61,34.136,54.484,72.869,23.733,0.7263,0.131,0.2057,0.0,103.84,1.019
bhili,tgt2hi,model,220361,,,,,,,,,,,,,,,,,nllb,52.665,29.102,51.794,70.391,21.696,0.8038,0.1277,0.1172,0.0,103.75,0.989
bhili,tgt2hi,model,220361,,,,,,,,,,,,,,,,,mt5,77.715,25.465,85.789,86.789,17.258,0.8739,0.0962,0.3731,0.0,104.03,0.99
bhili,tgt2hi,model,220361,,,,,,,,,,,,,,,,,qwen,42.688,28.201,38.327,61.978,22.874,0.7254,0.1662,0.0629,0.0,93.16,0.939
bhili,tgt2hi,model,220361,,,,,,,,,,,,,,,,,llama,71.796,27.732,78.485,83.21,19.289,0.8605,0.1064,0.2931,0.0,103.79,0.993
gondi,hi2tgt,model,114389,,,,,,,,,,,,,,,,,nllb,18.097,18.361,12.098,41.757,19.742,0.6176,0.1118,0.0112,0.0,52.27,1.019
gondi,hi2tgt,model,114389,,,,,,,,,,,,,,,,,mt5,36.574,31.229,25.712,59.336,25.485,0.7019,0.1396,0.1146,0.0,52.2,1.014
gondi,hi2tgt,model,114389,,,,,,,,,,,,,,,,,qwen,19.32,19.547,12.703,42.715,20.588,0.6196,0.1184,0.0173,0.0,51.52,1.02
gondi,hi2tgt,model,114389,,,,,,,,,,,,,,,,,llama,23.187,23.402,14.536,47.07,22.309,0.6386,0.122,0.0338,0.0,52.39,1.024
gondi,tgt2hi,model,114390,,,,,,,,,,,,,,,,,nllb,39.555,30.946,31.009,57.983,26.168,0.7604,0.1615,0.1276,0.0,50.05,1.021
gondi,tgt2hi,model,114390,,,,,,,,,,,,,,,,,mt5,77.691,30.475,100.0,85.868,22.051,0.8886,0.1183,0.5519,0.0,50.06,1.017
gondi,tgt2hi,model,114390,,,,,,,,,,,,,,,,,qwen,37.426,31.929,26.709,55.688,26.948,0.7129,0.1837,0.141,0.0,49.85,1.033
gondi,tgt2hi,model,114390,,,,,,,,,,,,,,,,,llama,53.247,35.668,48.964,68.391,28.192,0.8113,0.1592,0.2692,0.0,50.96,1.043
mundari,hi2tgt,model,210025,,,,,,,,,,,,,,,,,nllb,19.187,18.975,12.356,45.378,19.435,0.6659,0.1078,0.008,0.0,105.98,1.175
mundari,hi2tgt,model,210025,,,,,,,,,,,,,,,,,mt5,36.732,29.941,29.119,60.372,24.267,0.7236,0.1188,0.0678,0.0,103.7,1.072
mundari,hi2tgt,model,210025,,,,,,,,,,,,,,,,,qwen,15.917,18.282,9.053,38.992,20.488,0.617,0.1279,0.0089,0.0,84.81,1.068
mundari,hi2tgt,model,210025,,,,,,,,,,,,,,,,,llama,30.692,27.818,20.751,55.393,23.715,0.699,0.121,0.0455,0.0,102.09,1.095
mundari,tgt2hi,model,210025,,,,,,,,,,,,,,,,,nllb,43.28,32.474,36.361,60.624,26.742,0.7513,0.1561,0.1363,0.0,100.02,1.045
mundari,tgt2hi,model,210025,,,,,,,,,,,,,,,,,mt5,66.838,31.643,73.924,78.734,23.758,0.8289,0.1281,0.3007,0.0,98.81,1.013
mundari,tgt2hi,model,210025,,,,,,,,,,,,,,,,,qwen,25.96,25.475,17.542,44.991,24.675,0.6384,0.1768,0.0401,0.0,83.54,0.978
mundari,tgt2hi,model,210025,,,,,,,,,,,,,,,,,llama,60.997,33.414,65.804,74.412,25.79,0.8096,0.1424,0.2545,0.0,100.18,1.058
